don't'
never'
nothing'
nowhere'
noone'
none'
not'
hasn't'
hadn't'
can't'
couldn't'
shouldn't'
won't'
wouldn't'
don't'
doesn't'
didn't'
isn't'
aren't'
ain't'
in*'
un*'
dis*'
mal*'
